disease,drug
Dietary Supplementation,multivitamin/biotin/omega-3 polyunsaturated fatty acids/calcium / vitamin d/vitamin e/calcium citrate/ascorbic acid/chondroitin / glucosamine/bifidobacterium infantis / lactobacillus acidophilus
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen/naproxen
Diffuse Large B-Cell Lymphoma,prednisone/cyclophosphamide/rituximab/doxorubicin/vincristine/axicabtagene ciloleucel/hyaluronidase / rituximab/tisagenlecleucel/polatuzumab vedotin
Diphtheria,procaine penicillin/penicillin g potassium/penicillin g sodium
Diphtheria Prophylaxis,"diphtheria toxoid / pertussis, acellular / tetanus toxoid/diphtheria toxoid / tetanus toxoid/diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular/diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Dissociative Identity Disorder,sertraline/venlafaxine/fluoxetine/citalopram
Diverticulitis,metronidazole/ciprofloxacin/clindamycin/sulfamethoxazole / trimethoprim
Dog Tapeworm Infection (Dipylidium caninum),praziquantel/paromomycin
Dracunculiasis,metronidazole/mebendazole
Dravet Syndrome,cannabidiol/stiripentol
Drowsiness (Hypersomnia),caffeine/modafinil/dextroamphetamine/armodafinil
Dry Eye Disease (Keratoconjunctivitis Sicca),cyclosporine/lifitegrast/hydroxypropyl methylcellulose
Dry Skin (Xerosis),ammonium lactate/urea/emollients
Duchenne Muscular Dystrophy,deflazacort/eteplirsen/golodirsen
Dumping Syndrome,pantoprazole/cholestyramine/acarbose/methscopolamine/octreotide
Duodenal Ulcer,omeprazole/ranitidine/sucralfate/pantoprazole/rabeprazole/famotidine/lansoprazole/atropine / hyoscyamine / phenobarbital / scopolamine/calcium carbonate
Duodenal Ulcer Prophylaxis,ranitidine/sucralfate/esomeprazole/famotidine/lansoprazole/rabeprazole/cimetidine
Dwarf Tapeworm Infection (Hymenolepis nana),nitazoxanide/praziquantel/paromomycin
Dysautonomia,midodrine/fludrocortisone/pyridostigmine/lorazepam/alprazolam/amitriptyline/sertraline/naproxen/ibuprofen/fluoxetine/nortriptyline/paroxetine
Dyslipidemia,pitavastatin/fluvastatin
Dyspareunia,ospemifene/dehydroepiandrosterone/estradiol
Dystonia,baclofen/carbamazepine/onabotulinumtoxinA
Dysuria,phenazopyridine/oxybutynin/flavoxate
Echinococcus,mebendazole/praziquantel/albendazole
Edema,furosemide/hydrochlorothiazide/spironolactone/bumetanide/metolazone/torsemide/hydrochlorothiazide / triamterene/hydrochlorothiazide / spironolactone/triamterene/chlorthalidone/pamabrom/acetazolamide
Ehrlichiosis,doxycycline/tetracycline
Electromechanical Dissociation,epinephrine/calcium chloride
Emergency Contraception (Postcoital Contraception),levonorgestrel/ethinyl estradiol / levonorgestrel/ulipristal/ethinyl estradiol / norgestrel
Endocarditis,vancomycin/ceftriaxone/ampicillin/rifampin/metronidazole/cefazolin/ceftazidime/daptomycin/gentamicin/cilastatin / imipenem/oxacillin/tobramycin/streptomycin
Endometrial Cancer,megestrol/medroxyprogesterone/anastrozole/cyclophosphamide/pembrolizumab/lenvatinib
"Endometrial Hyperplasia, Prophylaxis",medroxyprogesterone/progesterone
Endometriosis,norethindrone/medroxyprogesterone/progesterone/ethinyl estradiol / levonorgestrel/danazol/leuprolide/ethinyl estradiol / norethindrone/ethinyl estradiol / norgestimate
Endometritis,ceftriaxone/gentamicin/ceftazidime/piperacillin / tazobactam/cefotaxime/cefoxitin/cilastatin / imipenem
Endoscopy or Radiology Premedication,diazepam/hyoscyamine/simethicone/iopamidol
Enterocolitis,chlordiazepoxide / clidinium/atropine / hyoscyamine / phenobarbital / scopolamine/doxycycline/vancomycin/albendazole
Enuresis,imipramine/belladonna
Eosinophilic Esophagitis,fluticasone/budesonide
"Epicondylitis, Tennis Elbow",dexamethasone/cortisone/prednisone
"Epididymitis, Non-Specific",ceftriaxone/ofloxacin
"Epididymitis, Sexually Transmitted",doxycycline/ciprofloxacin/levofloxacin/tetracycline/ceftriaxone/ofloxacin
Epiglottitis,ceftriaxone/sulfamethoxazole / trimethoprim/cefuroxime/cefotaxime/ampicillin / sulbactam
Epilepsy,levetiracetam/carbamazepine/gabapentin/lamotrigine/divalproex sodium/phenytoin/valproic acid/oxcarbazepine
Erectile Dysfunction,sildenafil/tadalafil/vardenafil/alprostadil/avanafil
Erosive Esophagitis,omeprazole/pantoprazole/ranitidine/esomeprazole/lansoprazole/famotidine/omeprazole / sodium bicarbonate/dexlansoprazole/rabeprazole/calcium carbonate
Erythroblastopenia,prednisone/triamcinolone/dexamethasone/cortisone
Esophageal Candidiasis,fluconazole/ketoconazole/amphotericin b/itraconazole/voriconazole/caspofungin/anidulafungin/micafungin
Esophageal Carcinoma,methotrexate/porfimer/trastuzumab/pembrolizumab
Esophageal Spasm,isosorbide mononitrate/isosorbide dinitrate
Esophageal Variceal Hemorrhage Prophylaxis,nadolol/atenolol
Eustachian Tube Dysfunction,cetirizine/ibuprofen/diphenhydramine/acetaminophen
Euvolemic Hyponatremia,tolvaptan/conivaptan
Evan's Syndrome,cyclosporine/dexamethasone/immune globulin intravenous/danazol/rituximab/vincristine/mycophenolate mofetil
Ewing's Sarcoma,cyclophosphamide/dactinomycin
Excoriation Disorder,fluoxetine/paroxetine/citalopram
Expectoration (Mucolysis),acetylcysteine/dextromethorphan / guaifenesin
Extrapyramidal Reaction,benztropine/diphenhydramine/trihexyphenidyl/amantadine
Extravasation,hyaluronidase/dexrazoxane
Eye Conditions,lutein/sulfacetamide sodium/natamycin/ceftriaxone/corticotropin
Eye Redness,fluorometholone/naphazoline/tetrahydrozoline/phenylephrine/oxymetazoline/brimonidine
Eye Redness/Itching,fluorometholone/naphazoline / pheniramine/triprolidine/tetrahydrozoline / zinc sulfate
Eyelash Hypotrichosis,bimatoprost/fluorometholone
Fabry Disease,agalsidase beta/migalastat
Facial Wrinkles,tazarotene/onabotulinumtoxinA/abobotulinumtoxinA/azficel-t/incobotulinumtoxinA
Factor IX Deficiency,tranexamic acid/coagulation factor ix/factor ix complex
Factor VII Deficiency,coagulation factor viia/factor ix complex
Fallopian Tube Cancer,bevacizumab/niraparib
Familial Adenomatous Polyposis,sulindac/celecoxib
Familial Cold Autoinflammatory Syndrome,canakinumab/rilonacept
Familial Mediterranean Fever,colchicine/canakinumab
Fatigue,modafinil/methylphenidate/amphetamine / dextroamphetamine/amantadine/dextroamphetamine
Febrile Neutropenia,cefepime/piperacillin / tazobactam/amikacin/caspofungin/ciprofloxacin/amoxicillin / clavulanate/ceftazidime/vancomycin/amphotericin b liposomal/gentamicin/itraconazole/cilastatin / imipenem
Female Infertility,metformin/letrozole/clomiphene/chorionic gonadotropin (hcg)/leuprolide/menotropins/urofollitropin
Fever,acetaminophen/ibuprofen/aspirin/naproxen
Fibromatosis,celecoxib/colchicine
"Filariasis, Elephantiasis",albendazole/mebendazole/ivermectin
Fish Tapeworm Infection (Diphyllobothrium latum),praziquantel/paromomycin
Focal Segmental Glomerulosclerosis,cyclosporine/rituximab/corticotropin
Folic Acid Deficiency,folic acid/l-methylfolate
Follicle Stimulation,menotropins/follicle stimulating hormone/urofollitropin
Follicular Lymphoma,rituximab/clarithromycin/idelalisib/obinutuzumab/interferon alfa-2b/copanlisib/duvelisib/hyaluronidase / rituximab
Forehead Lines,onabotulinumtoxinA/prabotulinumtoxinA
Frozen Shoulder,diclofenac/ibuprofen/naproxen/nabumetone/piroxicam/indomethacin/triamcinolone
Fungal Endocarditis,amphotericin b/flucytosine
Fungal Infection Prevention,fluconazole/amphotericin b
Fungal Infection Prophylaxis,fluconazole/itraconazole/amphotericin b/micafungin/gentian violet
"Fungal Infection, Internal and Disseminated",fluconazole/voriconazole
Fungal Pneumonia,fluconazole/voriconazole
"Fusospirochetosis, Trench Mouth",penicillin v potassium/penicillin g potassium/procaine penicillin/penicillin g sodium
GERD,omeprazole/pantoprazole/ranitidine/famotidine/lansoprazole/esomeprazole/rabeprazole/sucralfate/dexlansoprazole/omeprazole / sodium bicarbonate
GTP-CH Deficiency,carbidopa / levodopa/carbidopa
Gallbladder Disease,ursodiol/chenodeoxycholic acid
Gas,simethicone/aluminum hydroxide / magnesium hydroxide / simethicone
Gastric Cancer,methotrexate/ramucirumab/trastuzumab/pembrolizumab/docetaxel/tipiracil / trifluridine
Gastritis/Duodenitis,omeprazole/pantoprazole/lansoprazole/esomeprazole
Gastroenteritis,ondansetron/doxycycline/ceftriaxone/ampicillin/rotavirus vaccine
Gastrointestinal Hemorrhage,ranitidine/omeprazole / sodium bicarbonate/vasopressin/aluminum hydroxide
Gastrointestinal Perforation,metronidazole/ciprofloxacin
Gastrointestinal Stromal Tumor,imatinib/sunitinib/regorafenib/avapritinib
Gastrointestinal Surgery,alvimopan/lidocaine
Gastrointestinal Tract Examination,iohexol/lidocaine
Gaucher Disease,imiglucerase/miglustat/velaglucerase alfa/eliglustat/taliglucerase alfa
Gender Dysphoria,spironolactone/estradiol/testosterone/progesterone/medroxyprogesterone/conjugated estrogens
Generalized Anxiety Disorder,escitalopram/quetiapine/sertraline/citalopram/pregabalin/venlafaxine/duloxetine/paroxetine
Gestational Diabetes,insulin isophane/insulin regular/insulin isophane / insulin regular
Giant Cell Arteritis,prednisone/tocilizumab/infliximab
Giardiasis,metronidazole/nitazoxanide/tinidazole/albendazole/paromomycin
Gingivitis,chlorhexidine/hydrocortisone
Glaucoma,acetazolamide/brimonidine / timolol/pilocarpine/methazolamide/nadolol/apraclonidine/carbachol/mitomycin/echothiophate iodide
"Glaucoma, Open Angle",latanoprost/timolol/brimonidine/dorzolamide / timolol/dorzolamide/bimatoprost/travoprost/brinzolamide/tafluprost/brimonidine / brinzolamide
Glaucoma/Intraocular Hypertension,brimonidine / timolol/tafluprost/latanoprostene bunod
Glioblastoma Multiforme,temozolomide/bevacizumab/hydroxyurea/carmustine/procarbazine
Glomerulonephritis,azathioprine/penicillin g benzathine
Gonadotropin Inhibition,ganirelix/ethinyl estradiol / levonorgestrel/ethinyl estradiol / norgestimate/ethinyl estradiol / norethindrone/desogestrel / ethinyl estradiol
"Gonococcal Infection, Disseminated",ciprofloxacin/cefixime/levofloxacin/ceftriaxone/cefuroxime/cefpodoxime/ofloxacin/penicillin g potassium/cefotaxime/penicillin g sodium
"Gonococcal Infection, Uncomplicated",azithromycin/ceftriaxone/ciprofloxacin/doxycycline/cefixime/levofloxacin/cefuroxime/tetracycline
Gout,allopurinol/febuxostat/probenecid/pegloticase/allopurinol / lesinurad/lesinurad/rilonacept
"Gout, Acute",colchicine/indomethacin/naproxen/ibuprofen/methylprednisolone
Gouty Arthritis,prednisone/colchicine / probenecid/dexamethasone/triamcinolone/betamethasone/probenecid/cortisone
Graft-versus-host disease,prednisone/tacrolimus/ibrutinib/mycophenolate mofetil/methotrexate/cyclosporine/ruxolitinib
Gram Negative Infection,colistimethate/penicillin g potassium/penicillin g sodium
Granuloma Annulare,fluocinonide/halobetasol/isotretinoin
Granuloma Inguinale,azithromycin/doxycycline/minocycline/sulfamethoxazole / trimethoprim/ciprofloxacin
Granulomatosis with Polyangiitis,azathioprine/rituximab/cyclophosphamide/etanercept
Growth Hormone Reserve Test,insulin regular/macimorelin
HIV Infection,lamivudine/efavirenz / emtricitabine / tenofovir/ritonavir/emtricitabine / tenofovir/tenofovir/abacavir
Haemophilus influenzae Prophylaxis,"rifampin/haemophilus b conjugate (prp-t) vaccine/diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/haemophilus b conjugate (prp-omp) vaccine/diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Hairy Cell Leukemia,cladribine/pentostatin/interferon alfa-2b/moxetumomab pasudotox
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),levothyroxine/thyroid desiccated
Head Imaging,ioversol/iohexol
Head Injury,amantadine/risperidone
Head Lice,malathion/permethrin/piperonyl butoxide / pyrethrins/ivermectin/spinosad/benzyl alcohol/lindane/sodium chloride/acetic acid
Head and Neck Cancer,cetuximab/methotrexate/nivolumab/pembrolizumab/docetaxel
Headache,ibuprofen/acetaminophen / butalbital / caffeine/naproxen/trazodone/aspirin / butalbital / caffeine/acetaminophen / butalbital / caffeine / codeine/acetaminophen / butalbital
Heart Attack (Myocardial Infarction),aspirin/clopidogrel/metoprolol/lisinopril/nitroglycerin/ramipril/warfarin/atenolol/enoxaparin
Heart Failure (Congestive Heart Failure),furosemide/carvedilol/spironolactone/lisinopril/digoxin/metoprolol/isosorbide mononitrate/amlodipine/warfarin/hydralazine
Helicobacter Pylori Infection,omeprazole/clarithromycin/amoxicillin/metronidazole/amoxicillin / clarithromycin / lansoprazole/pantoprazole/tetracycline/bismuth subcitrate potassium / metronidazole / tetracycline/lansoprazole/bismuth subsalicylate/rabeprazole/amoxicillin / clarithromycin / omeprazole/esomeprazole
Hemolytic Anemia,dexamethasone/triamcinolone/cortisone
Hemolytic Uremic Syndrome,eculizumab/ravulizumab
Hemophilia A,antihemophilic factor/desmopressin/tranexamic acid/anti-inhibitor coagulant complex/antihemophilic factor / von willebrand factor
Hemophilia A with Inhibitors,factor ix complex/emicizumab
Hemophilia B,coagulation factor ix/factor ix complex/coagulation factor viia
Hemorrhoids,hydrocortisone/lidocaine/hydrocortisone / pramoxine/phenylephrine/dibucaine/hydrocortisone / lidocaine/pramoxine
Hemosiderosis,deferasirox/deferiprone
Hemostasis,fibrin sealant/thrombin
Hepatic Coma,neomycin/paromomycin
Hepatic Encephalopathy,lactulose/rifaximin/neomycin
Hepatitis A Prophylaxis,hepatitis a adult vaccine/hepatitis a adult vaccine / hepatitis b adult vaccine/hepatitis a pediatric vaccine
Hepatitis B,entecavir/tenofovir/lamivudine/adefovir/tenofovir alafenamide/interferon alfa-2b/peginterferon alfa-2a/peginterferon alfa-2b
Hepatitis B Prevention (Hepatitis B Prophylaxis),"hepatitis b adult vaccine/hepatitis a adult vaccine / hepatitis b adult vaccine/hepatitis b pediatric vaccine/diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Hepatitis C,ribavirin/ledipasvir / sofosbuvir/sofosbuvir/sofosbuvir / velpatasvir/peginterferon alfa-2a/dasabuvir / ombitasvir / paritaprevir / ritonavir/elbasvir / grazoprevir/interferon alfa-2b/peginterferon alfa-2b/glecaprevir / pibrentasvir/sofosbuvir / velpatasvir / voxilaprevir
Hepatocellular Carcinoma,sorafenib/nivolumab/regorafenib/pembrolizumab/lenvatinib/cabozantinib/ramucirumab
Hereditary Angioedema,C1 esterase inhibitor (human)/ecallantide/icatibant/conestat alfa/lanadelumab
Herniated Disk,naproxen/ibuprofen
Herpes Simplex,acyclovir/docosanol/allantoin / camphor / phenol/valacyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",valacyclovir/acyclovir/famciclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",valacyclovir/acyclovir/famciclovir/foscarnet
"Herpes Simplex, Suppression",valacyclovir/acyclovir/famciclovir
Herpes Zoster,acyclovir/valacyclovir/famciclovir/prednisone
"Herpes Zoster, Prophylaxis","zoster vaccine live/zoster vaccine, inactivated"
Herpetic Keratitis,trifluridine/acyclovir
Hiatal Hernia,omeprazole/ranitidine/lansoprazole/famotidine/aluminum hydroxide / magnesium hydroxide / simethicone/aluminum hydroxide / magnesium trisilicate
Hiccups,chlorpromazine/baclofen/prochlorperazine/gabapentin
High Blood Pressure (Hypertension),lisinopril/amlodipine/losartan/hydrochlorothiazide/metoprolol/atenolol/carvedilol/furosemide/hydrochlorothiazide / lisinopril/clonidine/enalapril/valsartan
High Cholesterol,atorvastatin/simvastatin/pravastatin/rosuvastatin/lovastatin/ezetimibe/gemfibrozil/niacin/ezetimibe / simvastatin/fenofibric acid
"High Cholesterol, Familial Heterozygous",atorvastatin/pravastatin/simvastatin/ezetimibe/rosuvastatin/lovastatin/ezetimibe / simvastatin/evolocumab/alirocumab/fluvastatin
"High Cholesterol, Familial Homozygous",atorvastatin/simvastatin/rosuvastatin/ezetimibe / simvastatin/lomitapide/evolocumab
High Risk Percutaneous Transluminal Angioplasty,allopurinol/abciximab
Hirsutism,spironolactone/eflornithine/flutamide/leuprolide
Histiocytosis,vinblastine/cyclophosphamide/etanercept
Histoplasmosis,itraconazole/fluconazole/ketoconazole/amphotericin b lipid complex
Hodgkin's Lymphoma,bleomycin/dacarbazine/doxorubicin/vinblastine/etoposide/cyclophosphamide/vincristine/procarbazine/brentuximab/methotrexate/chlorambucil/nivolumab/carmustine
Hookworm Infection (Necator or Ancylostoma),mebendazole/albendazole/pyrantel
Hordeolum,bacitracin / polymyxin b/bacitracin / neomycin / polymyxin b
Hot Flashes,venlafaxine/gabapentin/paroxetine/fluoxetine/esterified estrogens / methyltestosterone/citalopram/megestrol/duloxetine/mirtazapine/bazedoxifene / conjugated estrogens/desvenlafaxine
Human Papilloma Virus,imiquimod/cimetidine/podophyllum resin/resorcinol
Huntington's Disease,tetrabenazine/baclofen/deutetrabenazine
Hydatid Disease,mebendazole/albendazole
Hyperammonemia,sodium benzoate / sodium phenylacetate/carglumic acid
Hypercalcemia,furosemide/calcitonin/pamidronate
Hypercalcemia of Malignancy,dexamethasone/zoledronic acid/prednisone/cinacalcet/pamidronate/denosumab/etidronate
Hyperekplexia,diazepam/clonazepam/divalproex sodium/levetiracetam/valproic acid
Hyperhidrosis,oxybutynin/aluminum chloride hexahydrate/clonidine/terazosin/benztropine/gabapentin/amitriptyline/glycopyrronium/onabotulinumtoxinA
Hyperhomocysteinemia,l-methylfolate/multivitamin
Hyperkalemia,calcium gluconate/sodium bicarbonate/sodium polystyrene sulfonate/patiromer/insulin regular/calcium chloride/sodium zirconium cyclosilicate
Hyperlipoproteinemia,fenofibrate/atorvastatin/pravastatin/simvastatin/gemfibrozil/rosuvastatin/colestipol/niacin/cholestyramine/lovastatin/colesevelam
"Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL",atorvastatin/simvastatin/pravastatin/rosuvastatin
"Hyperlipoproteinemia Type IIa, Elevated LDL",fenofibrate/atorvastatin/simvastatin/pravastatin/rosuvastatin/cholestyramine/lovastatin/colesevelam/colestipol/fluvastatin
"Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL",fenofibrate/gemfibrozil/atorvastatin/simvastatin/rosuvastatin/pravastatin/colestipol/lovastatin/cholestyramine/fluvastatin
"Hyperlipoproteinemia Type IV, Elevated VLDL",fenofibrate/atorvastatin/niacin/gemfibrozil/rosuvastatin/simvastatin/pravastatin
"Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL",fenofibrate/gemfibrozil/niacin
Hypermagnesemia,calcium gluconate/calcium chloride
Hyperparathyroidism Secondary to Renal Impairment,calcifediol/etelcalcetide
Hyperphosphatemia,calcium acetate/aluminum hydroxide
Hyperphosphatemia of Renal Failure,sevelamer/sucralfate/lanthanum carbonate/ferric citrate/sucroferric oxyhydroxide/magnesium carbonate
Hyperprolactinemia,cabergoline/bromocriptine
Hypertensive Emergency,clonidine/hydralazine/enalapril/nifedipine/captopril/labetalol/nitroprusside/methyldopa/diazoxide/fenoldopam/clevidipine
Hyperthyroidism,methimazole/propylthiouracil/potassium iodide/iodine / potassium iodide/sodium iodide-i-131
Hypertriglyceridemia,fenofibrate/omega-3 polyunsaturated fatty acids/fenofibric acid/icosapent/rosuvastatin
Hyperuricemia Secondary to Chemotherapy,allopurinol/sodium bicarbonate/rasburicase
Hypoactive Sexual Desire Disorder,flibanserin/bremelanotide
Hypocalcemia,"calcitriol/calcium carbonate/calcium gluconate/ergocalciferol/parathyroid hormone/calcifediol/calcium chloride/calcium lactate/calcium phosphate, tribasic"
Hypoestrogenism,estradiol/conjugated estrogens/estradiol / norethindrone/estropipate/esterified estrogens/ethinyl estradiol
Hypoglycemia,glucagon/diazoxide
"Hypogonadism, Male",testosterone/chorionic gonadotropin (hcg)/follicle stimulating hormone/methyltestosterone
Hypokalemia,potassium chloride/spironolactone/potassium gluconate/potassium bicarbonate/potassium bicarbonate / potassium chloride
Hypokalemic Periodic Paralysis,acetazolamide/dichlorphenamide
Hypomagnesemia,magnesium oxide/magnesium sulfate/magnesium chloride/magnesium amino acids chelate/magnesium gluconate/magnesium carbonate
Hyponatremia,tolvaptan/urea/sodium acetate
Hypoparathyroidism,"calcitriol/ergocalciferol/parathyroid hormone/teriparatide/calcium lactate/calcium phosphate, tribasic"
Hypophosphatemia,potassium phosphate / sodium phosphate/ergocalciferol/potassium phosphate/sodium phosphate
Hypotension,midodrine/norepinephrine/phenylephrine/ephedrine/droxidopa
"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)",levothyroxine/thyroid desiccated/liothyronine
Hypovolemia,hetastarch/hydroxyethyl starch
ICU Agitation,haloperidol/midazolam/lorazepam/diazepam
Idiopathic Pulmonary Fibrosis,pirfenidone/nintedanib/interferon gamma-1b
Idiopathic Thrombocytopenic Purpura,prednisone/dexamethasone/eltrombopag/rituximab/romiplostim/cyclosporine/immune globulin intravenous/azathioprine/triamcinolone/rho (d) immune globulin/immune globulin intravenous and subcutaneous/interferon alfa-2b
Immunosuppression,prednisone/prednisolone/methylprednisolone
Impetigo,mupirocin/cefadroxil/cefuroxime/retapamulin/sulconazole/ozenoxacin/ammoniated mercury
Indigestion,omeprazole/ranitidine/famotidine/bismuth subsalicylate/aluminum hydroxide / magnesium hydroxide / simethicone/calcium carbonate/magnesium hydroxide
Infection Prophylaxis,sulfamethoxazole / trimethoprim/ciprofloxacin/ertapenem
Inflammatory Bowel Disease,prednisone/budesonide/mesalamine/sulfasalazine/hydrocortisone/azathioprine/dexamethasone/mercaptopurine/infliximab/cyclosporine/corticotropin/cromolyn
Inflammatory Conditions,meloxicam/prednisone/methylprednisolone/prednisolone/dexamethasone/betamethasone/hydrocortisone/magnesium salicylate/tolmetin
Influenza,oseltamivir/amantadine/acetaminophen / dextromethorphan / guaifenesin / phenylephrine/zanamivir/acetaminophen / chlorpheniramine/acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine/peramivir/acetaminophen / chlorpheniramine / dextromethorphan/acetaminophen / dextromethorphan / diphenhydramine/baloxavir marboxil
Influenza A,amantadine/rimantadine
Influenza Prophylaxis,"influenza virus vaccine, inactivated/oseltamivir/amantadine/influenza virus vaccine, live, trivalent/rimantadine/zanamivir"
Inhibition of Intraoperative Miosis,diclofenac/flurbiprofen
Insect Bites,benzocaine/pramoxine / zinc acetate
Insomnia,trazodone/zolpidem/temazepam/amitriptyline/lorazepam/clonazepam/mirtazapine/doxepin/quetiapine/eszopiclone/diphenhydramine/gabapentin/flurazepam
Insulin Resistance Syndrome (Metabolic Syndrome),metformin/insulin regular
Intermittent Claudication,cilostazol/pentoxifylline
Intermittent Explosive Disorder,fluoxetine/quetiapine/paroxetine/propranolol/lithium
Interstitial Cystitis,phenazopyridine/amitriptyline/hydroxyzine/pentosan polysulfate sodium/trospium/imipramine/dimethyl sulfoxide
Intertrigo,clotrimazole/hydrocortisone/miconazole
Intra-arterial Digital Subtraction Angiography,iodixanol/ioversol/iopromide
Intraabdominal Infection,meropenem/ciprofloxacin/metronidazole/clindamycin/piperacillin / tazobactam/ceftriaxone/moxifloxacin/amikacin/cefotaxime/cefepime/ceftazidime/gentamicin/doripenem/tigecycline
Intraocular Hypertension,latanoprost/timolol/brimonidine/dorzolamide / timolol/dorzolamide/travoprost/bimatoprost/brimonidine / timolol/pilocarpine/brinzolamide/levobunolol
Iridocyclitis,prednisone/corticotropin/dexamethasone/triamcinolone/cortisone
Iritis,prednisolone/prednisone/dexamethasone/loteprednol/triamcinolone/loteprednol / tobramycin/corticotropin/cortisone
Iron Deficiency Anemia,ferrous sulfate/ferrous gluconate/ferrous fumarate/iron polysaccharide/ferumoxytol/iron sucrose
Iron Overload,deferasirox/deferiprone
Irritable Bowel Syndrome,dicyclomine/hyoscyamine/amitriptyline/chlordiazepoxide / clidinium/atropine / hyoscyamine / phenobarbital / scopolamine/cholestyramine/escitalopram/nortriptyline/psyllium/venlafaxine
Ischemic Stroke,clopidogrel/aspirin/alteplase/nimodipine
"Ischemic Stroke, Prophylaxis",aspirin/clopidogrel/pravastatin/aspirin / dipyridamole
Joint Infection,clindamycin/ciprofloxacin/cefuroxime/metronidazole/ceftriaxone/cefazolin/amikacin/ceftazidime/penicillin g sodium
Juvenile Idiopathic Arthritis,methotrexate/etanercept/tocilizumab/adalimumab/canakinumab/infliximab/abatacept
Juvenile Rheumatoid Arthritis,meloxicam/naproxen/prednisone/sulfasalazine/celecoxib/etodolac/aspirin/ibuprofen/dexamethasone/etanercept/oxaprozin/sulindac
Kaposi's Sarcoma,paclitaxel/vinblastine/doxorubicin liposomal/interferon alfa-2b/alitretinoin
Kawasaki Disease (Mucocutaneous Lymph Node Syndrome),aspirin/immune globulin intravenous/infliximab
Keratitis,prednisolone/dexamethasone / tobramycin/loteprednol/dexamethasone/prednisone/triamcinolone/bacitracin / neomycin / polymyxin b/corticotropin/dexamethasone / neomycin / polymyxin b/prednisolone / sulfacetamide sodium/hydrocortisone / neomycin / polymyxin b
Keratoconjunctivitis,diclofenac/dexamethasone / neomycin / polymyxin b/prednisolone / sulfacetamide sodium/cromolyn/bacitracin / neomycin / polymyxin b/lodoxamide/gentamicin / prednisolone/hydrocortisone / neomycin / polymyxin b/bacitracin / polymyxin b
Keratosis,fluorouracil/imiquimod/diclofenac/collagenase/ingenol/aminolevulinic acid/methyl aminolevulinate
Kidney Infections (Pyelonephritis),ciprofloxacin/cephalexin/sulfamethoxazole / trimethoprim/levofloxacin/amoxicillin / clavulanate/ceftriaxone/cefuroxime/methenamine/cefazolin/cefepime/cefotaxime/cefpodoxime
Labor Induction,oxytocin/misoprostol/dinoprostone
Labor Pain,butorphanol/oxymorphone/ropivacaine
Laryngopharyngeal Reflux,omeprazole/pantoprazole/ranitidine/lansoprazole/famotidine/aluminum hydroxide / magnesium hydroxide / simethicone/cimetidine
"Lead Poisoning, Severe",succimer/edetate calcium disodium
Left Ventricular Dysfunction,carvedilol/metoprolol/ramipril/valsartan/enalapril/benazepril/captopril/perindopril/quinapril/fosinopril/moexipril/trandolapril
Left Ventriculography,ioversol/iopromide
Legionella Pneumonia,azithromycin/clarithromycin/erythromycin/rifampin
Leishmaniasis,allopurinol/amphotericin b/amphotericin b liposomal/pentamidine/miltefosine/amphotericin b lipid complex
Lemierre's Syndrome,chloramphenicol/metronidazole/clindamycin/cilastatin / imipenem
Lennox-Gastaut Syndrome,clobazam/rufinamide/topiramate/felbamate/cannabidiol
Leprosy,dapsone/rifampin/clofazimine
"Leprosy, Erythema Nodosum Leprosum",thalidomide/clofazimine
"Leprosy, Tuberculoid",rifampin/dapsone
Leptospirosis,ampicillin/penicillin g potassium/penicillin g sodium
Leukemia,prednisone/dexamethasone/cytarabine/dasatinib/idarubicin/triamcinolone/fludarabine
Leukocytoclastic Vasculitis,dapsone/idarubicin
Lewy Body Dementia,donepezil/rivastigmine
Lice,permethrin/lindane/piperonyl butoxide / pyrethrins/spinosad
